CustomerID,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV
5698-BQJOH,34.063947,-118.383001,0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,5571
5919-TMRGD,33.97803,-118.217141,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,2483
9191-MYQKX,33.923573,-118.200669,0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,3457
8637-XJIVR,33.977468,-118.445475,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,5806
0278-YXOOG,33.956445,-118.358634,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,2604
4598-XLKNJ,33.936291,-118.332639,0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,5337
3192-NQECA,34.031529,-118.491156,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,5034
0486-HECZI,33.867257,-118.330794,1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,5154
4846-WHAFZ,33.972119,-118.020188,0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,2793
5299-RULOA,33.976678,-118.065875,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,5998
0404-SWRVG,33.940619,-117.9513,1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,4415
4412-YLTKF,33.989524,-118.089299,0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,4638
6207-WIOLX,33.391181,-118.421305,0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,4190
3091-FYHKI,33.798266,-118.300237,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,2301
2372-HWUHI,33.840524,-118.148403,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,2570
0390-DCFDQ,33.79499,-118.065591,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,3964
4080-OGPJL,33.736387,-118.284363,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,2662
2135-RXIHG,33.822295,-118.26411,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,2600
3874-EQOEP,33.783047,-118.1486,1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,2786
0867-MKZVY,34.196837,-118.142236,0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,5719
3376-BMGFE,34.1528,-118.000482,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,4287
3445-HXXGF,34.168686,-118.057505,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,5444
1875-QIVME,34.296574,-118.244839,0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,4690
0691-JVSYA,34.167465,-118.165327,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,4328
2656-FMOKZ,34.139402,-118.128658,0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,5717
2070-FNEXE,34.159007,-118.087353,0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,4419
6317-YPKDH,34.167926,-118.267539,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1,4534
9367-WXLCH,34.136306,-118.26036,1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1,2152
1918-ZBFQJ,34.162515,-118.203869,0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1,5142
1024-GUALD,34.182378,-118.262922,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1,4851
2472-OVKUP,34.224377,-118.632656,1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,1,2283
1285-OKIPP,34.266389,-118.459744,1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,1,3394
7825-ECJRF,34.502432,-118.41459,0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1,3764
7841-TZDMQ,34.231053,-118.338307,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,1,2667
9408-SSNVZ,34.364153,-118.615583,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,1,2227
0742-MOABM,34.223768,-118.445461,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,1,3394
2232-DMLXU,34.17847,-118.459472,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1,3638
8937-RDTHP,34.213049,-118.317651,1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,1,2484
1251-KRREG,34.1692,-118.372498,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,1,2556
0094-OIFMO,34.207295,-118.400022,0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,1,5980
9947-OTFQU,34.097345,-117.906736,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,4616
0322-YINQP,34.084747,-117.886844,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,1,5687
4629-NRXKX,34.079934,-118.046695,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,1,5687
9514-JDSKI,34.074492,-118.01462,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,1,5828
4959-JOSRX,34.031441,-117.936436,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,1,4884
7273-TEFQD,34.038983,-117.991372,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,1,2314
3606-TWKGI,33.976753,-117.897367,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1,2494
6323-AYBRX,34.057256,-117.667677,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1,5084
4385-GZQXV,34.074087,-117.605618,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,3810
6366-ZGQGL,34.042286,-117.756106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1,5087
5940-AHUHD,34.067932,-117.785168,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1,3338
6432-TWQLB,34.065108,-118.082791,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1,3676
4484-GLZOU,34.102119,-117.815532,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1,4839
9512-UIBFX,34.061634,-117.893169,1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1,4643
5583-SXDAG,34.074736,-118.145959,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,1,4094
3488-PGMQJ,32.827184,-116.703729,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1,4345
3580-REOAC,32.67117,-117.00232,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1,4061
7534-BFESC,32.677097,-116.304991,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1,2018
6390-DSAZX,32.857946,-116.561917,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1,2565
8098-LLAZX,32.649787,-116.2237,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1,3677
0265-EDXBD,32.830852,-116.444601,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1,4105
7563-BIUPC,33.200369,-116.192313,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,1,5715
2321-OMBXY,33.098018,-117.258203,0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,1,2071
2840-XANRC,32.948262,-117.256086,1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,1,2212
5020-ZSTTY,32.79697,-116.969082,0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,1,4149
5804-LEPIM,33.079834,-117.134275,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,1,2671
0122-OAHPZ,33.254497,-117.285879,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,1,2473
2868-SNELZ,33.384345,-117.072619,0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,1,2683
4322-RCYMT,33.309852,-116.823091,1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,1,4903
6680-NENYN,33.313828,-116.940501,0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,1,5250
1343-EHPYB,33.215251,-116.53633,1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603.0,1,4352
2034-GDRCN,33.25283,-116.986079,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,1,4157
0219-YTZUE,32.747484,-117.166877,1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,1,4939
0623-IIHUG,32.741499,-117.127409,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1,4778
4572-DVCGN,32.741859,-117.090353,0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846.0,1,3598
9057-MSWCO,32.774046,-117.142454,1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,1,2927
1010-DIAUQ,32.765299,-117.122565,1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1,5383
0259-GBZSH,32.85723,-117.209774,1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5,1,3878
9601-BRXPO,32.961064,-117.134917,0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2566.5,1,3642
6905-NIQIN,32.578103,-117.012975,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,1,2431
5167-ZFFMM,33.713891,-116.237257,1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,1,3424
4895-TMWIR,33.537646,-116.291089,1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75,1,5888
0533-BNWKF,33.762759,-116.324817,0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4874.7,1,5502
6599-CEBNN,33.948558,-116.516976,0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2524.45,1,5795
0979-PHULV,32.811001,-115.152865,1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,1,4020
4800-VHZKI,33.345825,-115.596574,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,1,3351
7989-CHGTL,33.906496,-116.569499,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6,1,3448
0334-GDDSO,32.698964,-115.886656,1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,233.7,1,2818
0578-SKVMF,32.790282,-115.689559,0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9,1,3804
5564-NEMQO,33.53604,-116.119222,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3,1,4902
9063-ZGTUY,34.667815,-117.536183,0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,1,4221
2957-LOLHO,34.55082,-117.122396,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,518.9,1,2887
7752-XUSCI,34.248061,-117.29028,0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,1,4105
4110-PFEUZ,34.875144,-116.821698,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,69.55,1,2792
0256-LTHVJ,34.702766,-116.093376,0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,1,5201
0880-TKATG,34.508417,-116.856103,1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9,1,4417
3811-VBYBZ,34.238162,-117.534306,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25,1,2031
4640-UHDOS,34.441123,-117.537886,0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,1,4498
3583-EKAPL,34.003243,-117.138286,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,55.0,1,4877
9399-APLBT,34.156758,-117.404686,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,74.7,1,5980
2359-KMGLI,34.186211,-117.07683,1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1,4418
0306-JAELE,35.824572,-116.274755,1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4,1,4192
6227-HWPWX,34.486835,-117.362274,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8,1,5671
0447-BEMNG,34.358321,-117.618263,0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145.0,1,4926
5949-XIKAE,34.105935,-117.2914,0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,680.05,1,2879
8372-JUXUI,34.106922,-117.297553,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,1,2814
0388-EOPEX,33.890046,-117.455583,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,1,4263
8205-OTCHB,33.930931,-117.361788,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6,1,3099
6235-VDHOM,34.004379,-117.447864,0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05,1,4099
7783-YKGDV,33.888323,-117.277533,0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1238.45,1,2538
5609-CEBID,33.644585,-116.871544,0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,1,2666
7218-HKQFK,33.761894,-117.120868,1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,1,3715
4636-QRJKY,33.755039,-116.741796,0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,1,5032
5956-VKDTT,33.970661,-117.255039,0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,1,5273
9412-GHEEC,33.581045,-117.14719,1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,4131.95,1,3492
0257-ZESQC,33.828289,-117.201666,0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35,1,4517
6825-UYPFK,33.707483,-117.200006,0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1758.6,1,2115
8397-MVTAZ,33.69887,-117.25071,1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,1,2568
9282-IZGQK,33.643095,-117.810896,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,85.0,1,5679
1342-JPNKI,33.644849,-117.684254,1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,834.1,1,2966
2817-NTQDO,33.666301,-117.969501,1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597.0,1,4856
6986-IJDHX,33.679659,-118.016195,1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,3266.0,1,3364
5301-GAUUY,33.601309,-117.902304,1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,1,5974
0939-YAPAF,33.748478,-117.858918,0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,1,2744
4710-FDUIZ,33.714829,-117.872941,1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45,1,5170
1218-VKFPE,33.830209,-117.906099,0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0,233.55,1,3535
3627-FHKBK,33.83796,-117.870494,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,75.3,1,3244
2865-TCHJW,33.848733,-117.788357,0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,1,5808
5192-EBGOV,33.924143,-117.79387,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7,1,4880
0719-SYFRB,33.925833,-117.559639,0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,1,5670
3419-SNJJD,33.884073,-117.732197,0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,6786.4,1,4196
6543-CPZMK,34.360261,-119.306383,1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,1,2573
4765-OXPPD,34.279221,-119.221437,0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05,1,3983
1009-IRMNA,34.110124,-119.100972,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,137.6,1,4479
4554-YGZIH,34.420998,-119.60137,1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25,1,5059
5099-BAILX,34.419203,-119.710008,1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,4687.9,1,2728
7207-RMRDB,34.437945,-119.77191,0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,6985.65,1,5720
4913-EHYUI,35.869626,-119.498771,1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65,1,6268
0195-IESCP,36.315979,-119.710852,1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25,855.3,1,3573
4580-TMHJU,35.916943,-120.129921,0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2499.3,1,2152
0970-ETWGE,35.523991,-118.400432,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,1,4996
1626-ERCMM,36.057458,-118.591951,1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1899.65,1,5604
0887-HJGAR,36.186867,-120.387793,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7,1,2295
5644-PDMZC,35.772244,-119.209689,0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5,1,2065
9576-ANLXO,35.858054,-119.305858,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,1,2876
2024-BASKD,36.301689,-119.018233,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,74.6,1,3860
4160-AMJTL,35.215731,-119.57013,0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3,1,5432
4464-JCOLN,36.217864,-120.080117,1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,1,2362
5650-VDUDS,35.852892,-118.397782,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05,1,2038
7538-GWHML,36.462671,-118.997291,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65,145.15,1,2323
3859-CVCET,36.205465,-119.085807,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,191.05,1,2864
3276-HDUEG,34.737031,-119.460557,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05,75.05,1,4838
0823-HSCDJ,35.676978,-118.101378,1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2550.9,1,5597
0822-GAVAP,35.861928,-118.636698,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,62.25,1,3146
1448-PWKYE,35.490705,-119.286833,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,1,2046
0067-DKWBL,36.047414,-119.344304,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,91.1,1,3475
2276-YDAVZ,35.690535,-118.552784,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1,270.7,1,4965
5896-NPFWW,36.37559,-119.211689,1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,1,3273
7133-VBDCG,35.16207,-119.194488,0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85,2015.35,1,4535
1029-QFBEN,35.236549,-120.727344,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,1,3556
4952-YSOGZ,34.601055,-120.382917,0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,381.3,1,5640
1589-AGTLK,34.757477,-120.550507,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,141.5,1,2450
5244-IRFIH,34.758699,-120.275839,1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,3105.55,1,4333
2684-EIWEO,35.059695,-120.604741,0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15,1,2482
6439-GTPCA,35.165668,-120.655842,0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3941.7,1,5269
5138-WVKYJ,35.097323,-118.171288,1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1008.55,1,3658
6683-VLCTZ,35.363339,-117.637641,1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1842.8,1,5444
2189-WWOEW,35.214982,-118.59049,0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,1,3579
1894-IGFSG,34.712708,-117.889656,0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85,1,3161
7379-POKDZ,34.741406,-118.38111,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,208.85,1,3038
0236-HFWSV,34.557711,-118.029441,1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1,5264
3900-AQPHZ,34.445239,-117.894868,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9,1,4248
5842-POCOP,35.405722,-117.773354,0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,454.15,1,4356
2037-XJFUP,35.603913,-117.67828,1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75,1,4161
7314-OXENN,35.74837,-117.384948,1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,184.65,1,3051
0322-CHQRU,34.598221,-117.79593,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35,89.5,1,3478
4678-DVQEO,37.458367,-119.345011,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2,1,4138
0691-IFBQW,36.798882,-120.019511,0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4874.8,1,2403
3009-JWMPU,36.397745,-120.119911,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4,1,5016
1450-GALXR,37.027663,-119.69056,0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1058.25,1,5184
3138-BKYAV,36.727418,-120.123526,1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,489.45,1,4694
4289-DTDKW,36.902954,-120.194274,1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,4113.1,1,2576
1820-TQVEV,37.004068,-119.930027,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,1,3042
2239-JALAW,36.687292,-120.437354,1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,6017.65,1,6105
4853-RULSV,36.696759,-119.024051,1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0,7250.15,1,4544
